First Name*,Middle Name,Last Name*,Email*,Phone,Date of Birth,Gender,Marital Status,Job Title,Department,Manager Email,Employment Type,Employment Status,Join Date,Probation End Date,Create User Account? (Yes/No),Username,Password,Access Role,Basic Salary,Housing Allowance,Transport Allowance,Medical Allowance,Lunch Allowance,Other Allowances,Bank Name,Bank Account Number,Bank Branch,Mobile Money Number,National ID*,Passport Number,TIN Number,NSSF Number,Address,City,District,Emergency Contact Name,Emergency Contact Phone,Emergency Contact Relationship,Notes
Joseph,,Tumwebaze,joseph.tumwebaze@company.co.ug,+256712842562,1992-10-16,Male,Single,Recruitment Specialist,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2017-08-19,,Yes,joseph.tumwebaze,Welcome2025!,Employee,3988496,1300000,750000,0,0,0,Equity Bank,2832358040,Kampala Main,,CM823872772077,,,79082323-40,"Plot 141, Ggaba Road",Mbale,Jinja,Faith Kato,+256766971035,Friend,
Brenda,Joseph,Tumwebaze,brenda.tumwebaze@company.co.ug,+256777907969,1985-08-03,Female,Married,Recruitment Specialist,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2023-11-03,,Yes,brenda.tumwebaze,Welcome2025!,Employee,7052392,1400000,0,300000,200000,900000,Stanbic Bank,7961291760,Kampala Branch,+256751662654,CM895835959662,,,,"Plot 183, Entebbe Road",Entebbe,Kampala,Moses Byaruhanga,+256757726869,Friend,
Prossy,,Nabukenya,prossy.nabukenya@company.co.ug,+256779422643,1978-11-15,Female,Married,Recruitment Specialist,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2019-10-13,2020-04-10,No,,,,7162998,500000,0,0,200000,0,Centenary Bank,1767335299,Central Branch,,CM909885541706,,4907736107,,"Plot 211, Nakasero",Kampala,Mbarara,Brian Ssekitto,+256754432308,Child,
Doreen,Mary,Nabukenya,doreen.nabukenya@company.co.ug,+256761333529,2001-11-13,Female,Divorced,Department Manager,Management,manager.management@company.co.ug,Full-time,Active,2019-03-10,,No,,,,6967389,1000000,800000,350000,200000,0,Absa Bank,1360420311,Kampala Main,,CM817255398116,,5718565378,70337449-81,"Plot 6, Entebbe Road",Kampala,Mbarara,Lydia Apio,+256716638297,Spouse,
Achen,,Tumwebaze,achen.tumwebaze@company.co.ug,+256797556899,1997-11-23,Female,Widowed,Auditor,Finance,manager.finance@company.co.ug,Full-time,Active,2023-05-31,,No,,,,2500584,1100000,700000,400000,200000,200000,Absa Bank,7184582163,Kampala Main,,CM801072391712,,,96940836-93,"Plot 108, Entebbe Road",Mbale,Mbarara,Sarah Mukasa,+256763082373,Sibling,
Nakato,,Nabukenya,nakato.nabukenya@company.co.ug,+256722340705,2005-05-26,Female,Single,HR Officer,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2023-01-17,,Yes,nakato.nabukenya,Welcome2025!,Employee,2959550,1000000,450000,0,0,0,Absa Bank,9486444145,Kampala Main,,CM897640377019,,4769306139,32040739-73,"Plot 213, Nakasero",Gulu,Jinja,Faith Nalwanga,+256788126944,Sibling,
Faith,,Ssekitto,faith.ssekitto@company.co.ug,+256777941633,1976-06-26,Female,Widowed,Project Manager,Management,manager.management@company.co.ug,Full-time,Active,2018-01-13,,Yes,faith.ssekitto,Welcome2025!,Supervisor,4398955,400000,450000,450000,200000,400000,Centenary Bank,8143696925,Kampala Main,,CM886905009330,,,,"Plot 103, Nakasero",Fort Portal,Kampala,Moses Nakandi,+256787526663,Child,
James,Geoffrey,Kato,james.kato@company.co.ug,+256709858080,1990-12-10,Male,Single,Sales Executive,Sales,manager.sales@company.co.ug,Full-time,Active,2019-12-30,,Yes,james.kato,Welcome2025!,Admin,9331277,1300000,0,400000,0,0,Absa Bank,7678083638,Kampala Branch,+256752856784,CM895169212423,,3374066162,,"Plot 173, Entebbe Road",Kampala,Wakiso,Namukwaya Kato,+256741957732,Spouse,
Grace,,Nabukenya,grace.nabukenya@company.co.ug,+256775361533,1979-03-24,Female,Married,Financial Analyst,Finance,manager.finance@company.co.ug,Contract,Active,2015-08-15,,No,,,,3280189,0,250000,350000,150000,0,Equity Bank,4033916804,Kampala Main,,CM851329548597,,,,"Plot 218, Bombo Road",Jinja,Kampala,John Nabukeera,+256771983006,Friend,
Gloria,Patrick,Kato,gloria.kato@company.co.ug,+256788485619,1981-12-04,Female,Divorced,Civil Engineer,Engineering,,Full-time,Active,2022-01-26,,No,,,,5781228,400000,850000,0,250000,400000,DFCU Bank,5540974313,Central Branch,,CM779694301641,,3067052375,81717150-45,"Plot 166, Nakasero",Mbarara,Mukono,Gloria Okello,+256766169123,Parent,
John,,Kiwanuka,john.kiwanuka@company.co.ug,+256784796718,1997-07-09,Male,Married,HR Officer,Human Resources,manager.humanresources@company.co.ug,Contract,Active,2024-07-13,,No,,,,3720156,1600000,0,0,150000,200000,DFCU Bank,9892397666,Central Branch,+256751235532,CM780903768281,,,81464245-27,"Plot 62, Entebbe Road",Mbarara,Mbale,David Kiwanuka,+256786469286,Child,
Nantongo,,Ssekitto,nantongo.ssekitto@company.co.ug,+256786020580,2002-03-21,Female,Widowed,HR Officer,Human Resources,,Full-time,Active,2017-11-11,,Yes,nantongo.ssekitto,Welcome2025!,Admin,5831653,0,0,200000,250000,0,Absa Bank,7253263506,Kampala Branch,+256757836989,CM846351567051,,7400897558,60160283-29,"Plot 53, Entebbe Road",Kampala,Mbarara,Gloria Ssekitto,+256740531649,Sibling,
Patrick,,Nalwanga,patrick.nalwanga@company.co.ug,+256769061762,1990-02-14,Male,Divorced,Marketing Officer,Sales,,Contract,Active,2021-08-17,,Yes,patrick.nalwanga,Welcome2025!,Supervisor,8830481,1600000,300000,0,300000,0,Centenary Bank,9098369905,Central Branch,+256750631595,CM797765375209,,7465942280,46594879-34,"Plot 78, Bombo Road",Kampala,Mukono,Faith Asiimwe,+256778434750,Spouse,
Gloria,,Byaruhanga,gloria.byaruhanga@company.co.ug,+256713235386,1992-04-06,Female,Single,HR Officer,Human Resources,manager.humanresources@company.co.ug,Contract,Active,2018-01-03,2018-07-02,Yes,gloria.byaruhanga,Welcome2025!,Supervisor,3829013,0,0,0,150000,200000,Equity Bank,9114553611,Central Branch,,CM811723118481,,5310560490,,"Plot 60, Ggaba Road",Mbarara,Mukono,Nantongo Mbabazi,+256731627965,Parent,
Simon,,Kato,simon.kato@company.co.ug,+256746633796,1998-02-24,Male,Widowed,Civil Engineer,Engineering,manager.engineering@company.co.ug,Full-time,Active,2017-09-23,,No,,,,6521820,300000,700000,0,200000,0,DFCU Bank,9280562427,Kampala Main,+256755589513,CM986267074101,,,,"Plot 151, Old Kampala Road",Kampala,Jinja,Nantongo Nabukenya,+256774909257,Spouse,
Simon,Esther,Mbabazi,simon.mbabazi@company.co.ug,+256702416594,1975-09-14,Male,Divorced,Admin Officer,Operations,manager.operations@company.co.ug,Contract,Active,2021-12-03,,Yes,simon.mbabazi,Welcome2025!,Supervisor,6129839,1700000,500000,450000,0,0,Centenary Bank,4763458805,Kampala Main,,CM791394923576,,,,"Plot 91, Old Kampala Road",Gulu,Mbale,Grace Nabukenya,+256714656586,Parent,
Moses,,Ssekitto,moses.ssekitto@company.co.ug,+256750158880,1982-01-27,Male,Single,Sales Executive,Sales,,Full-time,Active,2022-08-05,2023-02-01,No,,,,5856900,500000,250000,550000,0,500000,DFCU Bank,2950190174,Kampala Main,,CM980729866634,,4825286156,,"Plot 28, Bombo Road",Gulu,Mukono,Geoffrey Nabukeera,+256738538725,Sibling,
Samuel,,Asiimwe,samuel.asiimwe@company.co.ug,+256751267214,1983-08-18,Male,Single,Project Engineer,Engineering,manager.engineering@company.co.ug,Full-time,Active,2018-09-27,,No,,,,1557456,500000,250000,500000,150000,0,Absa Bank,4131039689,Central Branch,,CM954436826954,,7320549414,86198643-63,"Plot 166, Ggaba Road",Kampala,Mbale,Faith Ssekitto,+256763747283,Friend,
Samuel,Faith,Kato,samuel.kato@company.co.ug,+256726987242,2004-12-08,Male,Widowed,Senior Accountant,Finance,manager.finance@company.co.ug,Contract,Active,2024-01-15,,Yes,samuel.kato,Welcome2025!,Supervisor,3269415,1500000,250000,200000,150000,700000,Equity Bank,1735298958,Central Branch,,CM990313999689,,,,"Plot 103, Old Kampala Road",Entebbe,Mbale,Charles Mukasa,+256771435500,Spouse,
Namukwaya,,Byaruhanga,namukwaya.byaruhanga@company.co.ug,+256780985708,1976-04-05,Female,Single,Project Engineer,Engineering,manager.engineering@company.co.ug,Full-time,Active,2019-06-19,,Yes,namukwaya.byaruhanga,Welcome2025!,Employee,5572289,1000000,0,450000,100000,0,Equity Bank,7419657194,Kampala Main,+256759508553,CM789587987830,,,98673535-10,"Plot 43, Bombo Road",Mbale,Mukono,Faith Nabukenya,+256717344340,Sibling,
Nakato,,Kato,nakato.kato@company.co.ug,+256797348306,1995-09-26,Female,Divorced,Logistics Coordinator,Operations,,Full-time,Active,2016-06-18,,Yes,nakato.kato,Welcome2025!,Admin,7850784,1700000,0,150000,0,0,Centenary Bank,2740588645,Kampala Branch,+256750216422,CM964954535153,,1767811804,83250299-10,"Plot 220, Old Kampala Road",Entebbe,Mbale,Sarah Tumwebaze,+256774072437,Child,
James,,Ssekitto,james.ssekitto@company.co.ug,+256788282813,1979-10-07,Male,Widowed,Training Coordinator,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2017-06-04,,No,,,,4434805,0,0,450000,200000,0,Stanbic Bank,1486693717,Kampala Branch,,CM981346722858,,7914604115,,"Plot 121, Old Kampala Road",Gulu,Kampala,Prossy Nabukeera,+256797542645,Friend,
Francis,,Akello,francis.akello@company.co.ug,+256720968495,1998-10-11,Male,Widowed,Accountant,Finance,manager.finance@company.co.ug,Full-time,Active,2014-05-05,,No,,,,1810923,0,500000,400000,0,0,Equity Bank,7403384609,Kampala Branch,+256752951437,CM706891296722,,8077320871,65358817-83,"Plot 174, Nakasero",Jinja,Jinja,Brenda Ssekitto,+256732610286,Sibling,
Samuel,,Nabukenya,samuel.nabukenya@company.co.ug,+256747348248,1987-02-07,Male,Single,HR Officer,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2025-03-19,2025-09-15,No,,,,4798903,1400000,550000,200000,200000,0,Bank of Africa,4538800309,Kampala Branch,,CM913263791149,,,,"Plot 91, Ggaba Road",Entebbe,Kampala,Namukwaya Mukasa,+256768891009,Sibling,
Ronald,,Kiwanuka,ronald.kiwanuka@company.co.ug,+256779262965,1989-05-13,Male,Single,Marketing Officer,Sales,manager.sales@company.co.ug,Full-time,Active,2015-08-18,2016-02-14,Yes,ronald.kiwanuka,Welcome2025!,Employee,4321375,1300000,600000,300000,300000,800000,Bank of Africa,8974577380,Kampala Main,,CM705728556588,,,,"Plot 8, Nakasero",Fort Portal,Mbarara,Stephen Okello,+256720651779,Parent,
Patrick,James,Akello,patrick.akello@company.co.ug,+256757807081,2000-05-27,Male,Married,Sales Manager,Sales,manager.sales@company.co.ug,Contract,Active,2021-10-17,,No,,,,7513522,400000,500000,0,200000,0,Stanbic Bank,1159615783,Kampala Branch,,CM924205343255,,2727859088,,"Plot 41, Entebbe Road",Entebbe,Mbarara,David Tumwebaze,+256773257348,Sibling,
Stephen,,Nalwanga,stephen.nalwanga@company.co.ug,+256772504621,2000-11-08,Male,Divorced,Project Engineer,Engineering,,Full-time,Active,2018-03-20,2018-09-16,No,,,,5038280,1000000,200000,0,150000,0,Bank of Africa,5772682669,Kampala Main,,CM711834086210,,2741010680,32058772-89,"Plot 66, Bombo Road",Kampala,Jinja,Rebecca Okello,+256756191775,Spouse,
Samuel,Simon,Nakandi,samuel.nakandi@company.co.ug,+256755849966,2002-03-24,Male,Divorced,Electrical Engineer,Engineering,,Contract,Active,2018-08-22,,No,,,,6233858,0,0,0,200000,0,Equity Bank,6251180774,Central Branch,+256756594776,CM958635257440,,9309741790,44737665-15,"Plot 92, Entebbe Road",Jinja,Kampala,Nakato Okello,+256711355962,Spouse,
Peter,,Kiwanuka,peter.kiwanuka@company.co.ug,+256700416138,2002-04-16,Male,Divorced,Logistics Coordinator,Operations,manager.operations@company.co.ug,Full-time,Active,2018-12-28,,No,,,,5329484,1300000,500000,0,300000,0,DFCU Bank,7500229828,Central Branch,,CM836362629903,,8497561034,,"Plot 79, Ggaba Road",Jinja,Jinja,John Kato,+256727803421,Sibling,
Simon,,Akello,simon.akello@company.co.ug,+256711058406,1977-09-12,Male,Widowed,Civil Engineer,Engineering,manager.engineering@company.co.ug,Full-time,Active,2016-02-15,,No,,,,3525215,0,400000,0,300000,0,DFCU Bank,9229139763,Kampala Main,,CM853029581831,,5712421317,63402574-29,"Plot 121, Old Kampala Road",Mbale,Mbarara,Stephen Apio,+256748168538,Parent,
Rebecca,,Asiimwe,rebecca.asiimwe@company.co.ug,+256776920580,1985-09-05,Female,Single,General Manager,Management,manager.management@company.co.ug,Full-time,Active,2015-03-02,,No,,,,5556111,1100000,500000,500000,250000,0,DFCU Bank,7364313544,Central Branch,,CM767489456444,,,31806140-44,"Plot 116, Old Kampala Road",Fort Portal,Gulu,Mary Nabukeera,+256744240042,Parent,
Geoffrey,Joseph,Apio,geoffrey.apio@company.co.ug,+256791905949,1976-08-05,Male,Married,Sales Manager,Sales,,Part-time,Active,2019-09-22,,No,,,,1700466,400000,350000,0,0,0,Stanbic Bank,5279313513,Kampala Branch,,CM713437061656,,,85646574-56,"Plot 104, Nakasero",Fort Portal,Mukono,Achen Kiwanuka,+256791832990,Friend,
Sarah,Esther,Nalwanga,sarah.nalwanga@company.co.ug,+256725561035,1991-03-02,Female,Single,Operations Manager,Operations,,Full-time,Active,2021-03-20,,Yes,sarah.nalwanga,Welcome2025!,Supervisor,7947506,400000,800000,500000,250000,0,DFCU Bank,9468384306,Kampala Main,,CM781770081534,,,50547142-62,"Plot 48, Nakasero",Kampala,Mbarara,Samuel Nakandi,+256705279207,Spouse,
Grace,,Asiimwe,grace.asiimwe@company.co.ug,+256765221682,1991-10-13,Female,Divorced,Financial Analyst,Finance,manager.finance@company.co.ug,Full-time,Active,2017-01-13,,Yes,grace.asiimwe,Welcome2025!,Employee,2043111,300000,0,200000,250000,0,Stanbic Bank,4502541154,Kampala Main,,CM759997768189,,4441099410,94096937-20,"Plot 207, Bombo Road",Masaka,Mbarara,Moses Kiwanuka,+256766330479,Sibling,
Samuel,Ronald,Mukasa,samuel.mukasa@company.co.ug,+256785407572,2005-10-15,Male,Widowed,Project Engineer,Engineering,manager.engineering@company.co.ug,Contract,Active,2022-06-08,2022-12-05,Yes,samuel.mukasa,Welcome2025!,Supervisor,4246298,300000,0,0,250000,0,Stanbic Bank,6971610460,Kampala Main,+256755013308,CM722510605246,,,,"Plot 120, Nakasero",Mbale,Mbale,Stephen Nabukenya,+256773959599,Child,
Francis,,Nabukeera,francis.nabukeera@company.co.ug,+256739692240,1986-03-01,Male,Married,Logistics Coordinator,Operations,,Full-time,Active,2019-08-11,,Yes,francis.nabukeera,Welcome2025!,Admin,8155282,0,250000,0,300000,1100000,DFCU Bank,8625719748,Central Branch,+256753523802,CM732929101185,,3142465548,84079472-31,"Plot 37, Ggaba Road",Mbale,Mukono,Joseph Mukasa,+256769516953,Parent,
Geoffrey,,Nakandi,geoffrey.nakandi@company.co.ug,+256701095738,1992-07-22,Male,Divorced,HR Officer,Human Resources,,Full-time,Active,2020-06-07,,No,,,,1541245,1200000,200000,0,0,0,DFCU Bank,2815171185,Kampala Branch,,CM758548726107,,6385632850,36445969-66,"Plot 199, Ggaba Road",Gulu,Kampala,Samuel Kiwanuka,+256702478536,Child,
Moses,Gloria,Kiwanuka,moses.kiwanuka@company.co.ug,+256759475977,1991-05-20,Male,Single,Project Engineer,Engineering,,Full-time,Active,2020-04-22,,No,,,,7884191,1200000,750000,0,0,700000,Bank of Africa,9469071608,Kampala Branch,+256756860407,CM925794156576,,5897350909,58762172-41,"Plot 52, Nakasero",Fort Portal,Wakiso,Joseph Mbabazi,+256717732471,Child,
Esther,,Nabukenya,esther.nabukenya@company.co.ug,+256720629776,1988-04-25,Female,Single,Recruitment Specialist,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2015-12-04,,No,,,,8971884,1000000,650000,200000,150000,900000,Stanbic Bank,9111200137,Kampala Branch,+256754884786,CM900871745065,,,93009233-77,"Plot 184, Old Kampala Road",Mbarara,Mbale,Mary Mukasa,+256710091848,Child,
Geoffrey,,Nakandi,geoffrey.nakandi@company.co.ug,+256769514238,1992-06-12,Male,Married,Financial Analyst,Finance,,Full-time,Active,2024-03-16,,Yes,geoffrey.nakandi,Welcome2025!,Supervisor,2495464,0,250000,400000,0,1000000,Absa Bank,3163207749,Kampala Branch,,CM948471451079,,1940334705,,"Plot 186, Entebbe Road",Masaka,Mukono,James Akello,+256724995555,Parent,
Rebecca,,Nalwanga,rebecca.nalwanga@company.co.ug,+256767857087,2000-11-02,Female,Divorced,Sales Manager,Sales,manager.sales@company.co.ug,Part-time,Active,2024-03-08,,No,,,,7969294,900000,450000,500000,0,100000,Bank of Africa,7419780045,Kampala Main,,CM818466647419,,,,"Plot 140, Bombo Road",Entebbe,Kampala,Prossy Mukasa,+256796051936,Sibling,
Simon,,Apio,simon.apio@company.co.ug,+256732984440,1995-03-18,Male,Divorced,Marketing Officer,Sales,manager.sales@company.co.ug,Contract,Active,2018-11-09,,No,,,,1676652,400000,450000,0,0,1100000,DFCU Bank,8970476737,Central Branch,+256759200907,CM756040364977,,,33435067-38,"Plot 22, Ggaba Road",Mbarara,Jinja,Geoffrey Mbabazi,+256716164751,Child,
Doreen,,Kato,doreen.kato@company.co.ug,+256713691941,2002-01-21,Female,Married,Sales Executive,Sales,manager.sales@company.co.ug,Full-time,Active,2020-05-26,2020-11-22,Yes,doreen.kato,Welcome2025!,Supervisor,3503720,700000,0,0,200000,1100000,Stanbic Bank,3282078297,Kampala Branch,,CM747934705472,,4810459987,,"Plot 211, Old Kampala Road",Kampala,Wakiso,Doreen Nalwanga,+256733346763,Spouse,
Francis,,Mukasa,francis.mukasa@company.co.ug,+256787875543,1987-12-11,Male,Single,Civil Engineer,Engineering,manager.engineering@company.co.ug,Contract,Active,2021-05-20,,Yes,francis.mukasa,Welcome2025!,Admin,4164699,600000,500000,0,0,0,Absa Bank,3128129090,Kampala Branch,,CM754232506713,,,54276505-27,"Plot 206, Old Kampala Road",Jinja,Kampala,Faith Nabukeera,+256720679304,Friend,
Gloria,,Nakandi,gloria.nakandi@company.co.ug,+256733021869,1984-11-19,Female,Married,Marketing Officer,Sales,manager.sales@company.co.ug,Full-time,Active,2014-07-31,,Yes,gloria.nakandi,Welcome2025!,Admin,5290048,1100000,0,500000,150000,500000,Centenary Bank,2762104057,Central Branch,,CM793534826013,,,77779359-27,"Plot 77, Old Kampala Road",Mbarara,Gulu,Nakato Apio,+256735283993,Parent,
Ronald,,Mbabazi,ronald.mbabazi@company.co.ug,+256797056542,1994-03-22,Male,Single,Accountant,Finance,manager.finance@company.co.ug,Full-time,Active,2015-07-22,2016-01-18,No,,,,1662343,1200000,0,0,150000,1100000,Centenary Bank,6980485161,Kampala Main,,CM778180007369,,4820208364,66541744-34,"Plot 8, Entebbe Road",Fort Portal,Mbale,Prossy Nakandi,+256733721581,Sibling,
Faith,,Mukasa,faith.mukasa@company.co.ug,+256721133669,2005-01-14,Female,Divorced,Electrical Engineer,Engineering,,Full-time,Active,2023-12-21,,Yes,faith.mukasa,Welcome2025!,Employee,3199310,0,700000,400000,250000,500000,Centenary Bank,4887644605,Kampala Main,,CM932163404180,,2716516443,88779898-43,"Plot 121, Old Kampala Road",Kampala,Wakiso,Samuel Akello,+256796191946,Child,
David,,Kato,david.kato@company.co.ug,+256788173366,1989-12-27,Male,Divorced,Operations Manager,Operations,manager.operations@company.co.ug,Part-time,Active,2021-08-29,,Yes,david.kato,Welcome2025!,Supervisor,1887445,1300000,350000,0,0,500000,Centenary Bank,4882053681,Central Branch,,CM804019913158,,5544731403,,"Plot 207, Nakasero",Entebbe,Wakiso,Mary Nakandi,+256729068915,Sibling,
Brenda,,Ssekitto,brenda.ssekitto@company.co.ug,+256785054849,1994-12-25,Female,Widowed,Admin Officer,Operations,manager.operations@company.co.ug,Full-time,Active,2017-07-07,2018-01-03,No,,,,3172353,1200000,0,200000,150000,0,Absa Bank,5376529870,Kampala Branch,,CM990116587888,,2483028359,76154462-78,"Plot 207, Entebbe Road",Entebbe,Mbarara,David Apio,+256776463595,Spouse,
Geoffrey,Charles,Mbabazi,geoffrey.mbabazi@company.co.ug,+256767667677,1979-04-01,Male,Single,Admin Officer,Operations,manager.operations@company.co.ug,Full-time,Active,2014-03-26,2014-09-22,Yes,geoffrey.mbabazi,Welcome2025!,Supervisor,2558793,0,650000,0,0,0,Bank of Africa,1998134645,Kampala Main,+256759805765,CM763580572198,,,89450602-77,"Plot 213, Nakasero",Entebbe,Mbarara,Faith Tumwebaze,+256767960196,Parent,
Samuel,,Asiimwe,samuel.asiimwe@company.co.ug,+256730562430,1995-01-17,Male,Divorced,Software Engineer,Engineering,,Full-time,Active,2019-09-06,,Yes,samuel.asiimwe,Welcome2025!,Admin,8146884,500000,650000,200000,250000,0,Absa Bank,8554953764,Kampala Main,,CM867485505396,,2979657561,74971122-95,"Plot 149, Nakasero",Gulu,Mbarara,David Asiimwe,+256725764462,Child,
Grace,Prossy,Akello,grace.akello@company.co.ug,+256702431468,1978-06-12,Female,Widowed,Sales Executive,Sales,,Contract,Active,2021-04-22,,No,,,,6454854,1400000,650000,0,300000,0,Bank of Africa,8078693564,Kampala Main,+256758023544,CM849955222232,,7918103371,87179621-53,"Plot 146, Ggaba Road",Kampala,Mbarara,Sarah Tumwebaze,+256776910681,Parent,
Simon,,Kiwanuka,simon.kiwanuka@company.co.ug,+256700488962,1994-10-01,Male,Widowed,Civil Engineer,Engineering,manager.engineering@company.co.ug,Full-time,Active,2019-01-04,2019-07-03,Yes,simon.kiwanuka,Welcome2025!,Supervisor,3138160,1100000,550000,150000,0,0,Centenary Bank,1245223014,Kampala Branch,,CM875138835790,,3351263404,30203060-30,"Plot 154, Nakasero",Fort Portal,Kampala,John Asiimwe,+256761742528,Friend,
Gloria,,Nalwanga,gloria.nalwanga@company.co.ug,+256715325297,1975-05-08,Female,Married,Payroll Officer,Finance,,Full-time,Active,2022-01-18,,Yes,gloria.nalwanga,Welcome2025!,Supervisor,3856367,1500000,650000,150000,300000,0,Centenary Bank,1560926529,Kampala Branch,+256750915300,CM708048166689,,5411454800,65475123-68,"Plot 96, Nakasero",Mbarara,Mbale,Geoffrey Nalwanga,+256719234792,Sibling,
Achen,Peter,Apio,achen.apio@company.co.ug,+256719949673,1994-11-22,Female,Married,Senior Accountant,Finance,manager.finance@company.co.ug,Full-time,Active,2019-07-19,,No,,,,8385411,700000,800000,550000,0,0,Centenary Bank,6668925593,Kampala Main,+256751014943,CM864753093191,,1208020578,,"Plot 118, Ggaba Road",Fort Portal,Jinja,Rebecca Kato,+256730429854,Spouse,
Simon,,Okello,simon.okello@company.co.ug,+256701861428,1990-12-21,Male,Married,General Manager,Management,manager.management@company.co.ug,Full-time,Active,2021-12-20,,Yes,simon.okello,Welcome2025!,Supervisor,4227270,0,250000,450000,150000,800000,Stanbic Bank,2018966022,Central Branch,+256759207725,CM753619062638,,,,"Plot 72, Entebbe Road",Entebbe,Wakiso,Rebecca Okello,+256766338209,Spouse,
Charles,Stephen,Tumwebaze,charles.tumwebaze@company.co.ug,+256744478798,1994-03-15,Male,Widowed,Electrical Engineer,Engineering,manager.engineering@company.co.ug,Full-time,Active,2023-05-15,,No,,,,6769257,900000,450000,150000,100000,0,Equity Bank,1292523517,Kampala Branch,+256757813100,CM795912294638,,,,"Plot 156, Ggaba Road",Masaka,Mukono,Moses Mukasa,+256763869726,Sibling,
Rebecca,,Nalwanga,rebecca.nalwanga@company.co.ug,+256727022440,1982-12-01,Female,Widowed,HR Officer,Human Resources,,Full-time,Active,2024-10-04,2025-04-02,No,,,,4404163,0,200000,450000,0,0,Equity Bank,7037108626,Kampala Branch,,CM923874617402,,,89379692-10,"Plot 218, Ggaba Road",Kampala,Mbale,Rebecca Okello,+256760260744,Spouse,
Achen,,Tumwebaze,achen.tumwebaze@company.co.ug,+256728812656,2004-12-26,Female,Divorced,Mechanical Engineer,Engineering,,Full-time,Active,2022-10-26,,No,,,,9273625,1400000,800000,500000,100000,0,Absa Bank,7282634725,Kampala Branch,+256758990563,CM780297339203,,6545473858,,"Plot 7, Bombo Road",Mbarara,Wakiso,David Kiwanuka,+256715966725,Child,
David,,Tumwebaze,david.tumwebaze@company.co.ug,+256741954292,2002-10-07,Male,Single,Sales Manager,Sales,manager.sales@company.co.ug,Part-time,Active,2014-05-22,2014-11-18,No,,,,5234482,1600000,0,350000,0,900000,Centenary Bank,6014864289,Central Branch,+256758185373,CM928752417609,,1917687377,47752064-80,"Plot 196, Bombo Road",Masaka,Wakiso,Nantongo Mbabazi,+256746267372,Child,
Joseph,Simon,Ssekitto,joseph.ssekitto@company.co.ug,+256735370296,1978-05-08,Male,Married,Business Development Manager,Sales,manager.sales@company.co.ug,Contract,Active,2014-07-15,2015-01-11,Yes,joseph.ssekitto,Welcome2025!,Admin,3466979,700000,350000,0,250000,0,Absa Bank,9945047398,Central Branch,+256752497256,CM917544393953,,8292681166,79614885-83,"Plot 18, Ggaba Road",Masaka,Gulu,Nantongo Kiwanuka,+256736559070,Parent,
Lydia,,Nalwanga,lydia.nalwanga@company.co.ug,+256751253911,1989-11-18,Female,Divorced,Logistics Coordinator,Operations,,Contract,Active,2023-02-05,,Yes,lydia.nalwanga,Welcome2025!,Admin,8905133,0,250000,350000,250000,0,Bank of Africa,2630872621,Kampala Branch,,CM902592315782,,,,"Plot 145, Nakasero",Kampala,Gulu,Charles Asiimwe,+256771616009,Friend,
Samuel,,Nabukenya,samuel.nabukenya@company.co.ug,+256739148105,1995-01-26,Male,Married,General Manager,Management,manager.management@company.co.ug,Full-time,Active,2021-04-08,2021-10-05,No,,,,8130122,700000,850000,300000,0,0,DFCU Bank,7850860663,Central Branch,+256750669590,CM721846846240,,8787184726,,"Plot 208, Ggaba Road",Jinja,Jinja,Stephen Apio,+256720316317,Spouse,
Faith,,Kiwanuka,faith.kiwanuka@company.co.ug,+256752758514,1998-12-17,Female,Divorced,Electrical Engineer,Engineering,,Full-time,Active,2025-05-26,2025-11-22,No,,,,1996414,300000,650000,0,0,500000,Equity Bank,5294223426,Kampala Branch,+256752403446,CM847735261668,,,87594508-18,"Plot 139, Ggaba Road",Gulu,Kampala,Stephen Tumwebaze,+256705847957,Parent,
James,,Nakandi,james.nakandi@company.co.ug,+256741065967,1981-08-22,Male,Married,HR Manager,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2020-09-18,,Yes,james.nakandi,Welcome2025!,Admin,5971587,800000,600000,400000,250000,0,Bank of Africa,5814041987,Kampala Branch,,CM814337081440,,2785637510,,"Plot 149, Ggaba Road",Gulu,Mbarara,Moses Akello,+256753687369,Parent,
Rebecca,,Ssekitto,rebecca.ssekitto@company.co.ug,+256771796892,1984-03-08,Female,Divorced,Training Coordinator,Human Resources,,Full-time,Active,2015-09-16,,No,,,,4785385,900000,0,300000,300000,0,Absa Bank,6736823996,Central Branch,+256752759867,CM907198587120,,9347223051,89056571-81,"Plot 178, Ggaba Road",Fort Portal,Mukono,Esther Kiwanuka,+256731120863,Child,
Nakato,,Tumwebaze,nakato.tumwebaze@company.co.ug,+256724001032,2000-02-03,Female,Married,Executive Director,Management,manager.management@company.co.ug,Full-time,Active,2017-01-12,2017-07-11,Yes,nakato.tumwebaze,Welcome2025!,Supervisor,7596478,300000,850000,350000,200000,0,Stanbic Bank,7064802733,Kampala Branch,,CM884722129589,,,,"Plot 170, Bombo Road",Jinja,Mukono,John Nabukenya,+256778805954,Parent,
